id;customer_id;type;name;parent_id/id;Use Parent Address;street;street2;zip;city;country_id/id;country_id/name;phone;mobile;email;website;industry_id/id;industry_id/name;is_company;customer;supplier;
demo_parent_10000010;10000010;Contact;Karl Hedin;;;Konvojgatan 2;;14345;VÅRBY               ;base.se;Sverige;0521-68 11 22;;info@karlhedin.se;www.karlhedin.se;0;0;TRUE;;;
demo_parent_10000011;10000011;Contact;GKN Aerospace ;;;Norrskogsvägen 70;;55625;JÖNKÖPING           ;base.se;Sverige;08-932 52 93;;info@gknaerospace.se;www.gknaerospace.se;0;0;TRUE;;;
demo_parent_10000012;10000012;Contact;Toyota Industries Europe ;;;Essinge Brogata 73;;62338;HAVDHEM             ;base.se;Sverige;045-340 74 04;;info@toyotaindustrieseurope.se;www.toyotaindustrieseurope.se;0;0;TRUE;;;
demo_parent_10000013;10000013;Contact;Husqvarna;;;Bryggvägen 73;;60363;NORRKÖPING          ;base.se;Sverige;0637-61 54 31;;info@husqvarna.se;www.husqvarna.se;0;0;TRUE;TRUE;;
demo_parent_10000014;10000014;Contact;Handelsbanken;;;Herkulesgatan 11;;43347;PARTILLE            ;base.se;Sverige;08-146 25 92;;info@handelsbanken.se;www.handelsbanken.se;0;0;TRUE;TRUE;;
demo_parent_10000015;10000015;Contact;Liljedahl Group ;;;Stureplan 56;;75322;UPPSALA             ;base.se;Sverige;051-745 64 52;;info@liljedahlgroup.com;www.liljedahlgroup.com;0;0;TRUE;;TRUE;
demo_parent_10000016;10000016;Contact;Anders Hedin Invest ;;;Terminalslingan 53;;24432;KÄVLINGE            ;base.se;Sverige;0348-42 70 49;;info@andershedininvest.com;www.andershedininvest.com;0;0;TRUE;;TRUE;
demo_parent_10000017;10000017;Contact;Meritor HVS ;;;Jägmästargatan 16;;36133;EMMABODA            ;base.se;Sverige;08-751 99 28;;info@meritorhvs.se;www.meritorhvs.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000018;10000018;Contact;Sveriges Television ;;;Katrinebergsbacken 80;;74497;JÄRLÅSA             ;base.se;Sverige;093-105 19 41;;info@sverigestelevision.se;www.sverigestelevision.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000019;10000019;Contact;Carnegie Holding ;;;Jaktvarvsplan 61;;13138;NACKA               ;base.se;Sverige;0613-71 11 71;;info@carnegieholding.se;www.carnegieholding.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000020;10000020;Contact;Max Hotell-och Restauranginvest ;;;Vetegatan 30;;41676;GÖTEBORG            ;base.se;Sverige;084-380 21 50;+46.76305578;info@maxhotell-ochrestauranginvest.se;www.maxhotell-ochrestauranginvest.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000021;10000021;Contact;SEB;;;Kaknäsvägen 80;;16575;HÄSSELBY            ;base.se;Sverige;0196-75 25 33;+46.75020738;kontakt@seb.se;www.seb.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000022;10000022;Contact;KLS Ugglarps;;;Hjalmar Söderbergs Väg 63;;25451;HELSINGBORG         ;base.se;Sverige;08-666 90 14;+46.76878890;info@klsugglarps.se;www.klsugglarps.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000023;10000023;Contact;Hemfosa Fastigheter ;;;Strömparterren 71;;62192;VISBY               ;base.se;Sverige;033-697 91 47;+46.70226339;info@hemfosafastigheter.se;www.hemfosafastigheter.se;0;0;TRUE;;TRUE;
demo_parent_10000024;10000024;Contact;DeLaval International ;;;Berzelii Park 80;;58935;LINKÖPING           ;base.se;Sverige;0913-65 80 28;+46.79328614;info@delavalinternational.se;www.delavalinternational.se;0;0;TRUE;TRUE;;
demo_parent_10000025;10000025;Contact;Swedish Orphan Biovitrum ;;;Bredgränd 62;;68291;FILIPSTAD           ;base.se;Sverige;08-667 65 42;+46.71092890;info@swedishorphanbiovitrum.se;www.swedishorphanbiovitrum.se;0;0;TRUE;TRUE;;
demo_parent_10000026;10000026;Contact;Bombardier Transportation;;;Terminalslingan 39;;81538;TIERP               ;base.se;Sverige;059-726 86 23;+46.71471300;info@bombardiertransportation.se;www.bombardiertransportation.se;0;0;TRUE;TRUE;;
demo_parent_10000027;10000027;Contact;GE Healthcare Bio-Sciences ;;;Södra Bassängkajen 90;;97252;LULEÅ               ;base.se;Sverige;0893-65 45 06;+46.75853598;info@gehealthcarebio-sciences.se;www.gehealthcarebio-sciences.se;0;0;TRUE;;;
demo_parent_10000028;10000028;Contact;Axel Johnson ;;;Kindstugatan 50;;58957;LINKÖPING           ;base.se;Sverige;08-587 51 23;+46.78569430;info@axeljohnson.com;www.axeljohnson.com;0;0;TRUE;TRUE;;
demo_parent_10000029;10000029;Contact;JFT Holding (Daniel Wellington);;;Smedsbacksgatan 21;;27291;SIMRISHAMN          ;base.se;Sverige;023-853 13 02;+46.75033972;mail@jftholding(danielwellington).se;www.jftholding(danielwellington).se;0;0;TRUE;;TRUE;
demo_parent_10000030;10000030;Contact;Nibe Industrier;;;Älvkarleövägen 90;;62193;VISBY               ;base.se;Sverige;0088-79 14 41;+46.77567863;info@nibeindustrier.se;www.nibeindustrier.se;0;0;TRUE;;;
demo_parent_10000031;10000031;Contact;Lifco;;;Barnängs Tvärgränd 52;;45290;STRÖMSTAD           ;base.se;Sverige;08-365 08 14;+46.73509466;info@lifco.se;www.lifco.se;0;0;TRUE;TRUE;;
demo_parent_10000032;10000032;Contact;Arjo ;;;Gumshornsgatan 64;;77631;HEDEMORA            ;base.se;Sverige;017-328 33 09;+46.70476832;info@arjo.com;www.arjo.com;0;0;TRUE;TRUE;;
demo_parent_10000033;10000033;Contact;Hector Rail Holding ;;;Bredgränd 56;;81171;JÄRBO               ;base.se;Sverige;0080-74 74 76;+46.78760157;info@hectorrailholding.se;www.hectorrailholding.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000034;10000034;Contact;Telenor Sverige ;;;Björns Trädgårdsgränd 67;;26534;ÅSTORP              ;base.se;Sverige;08-446 45 87;+46.74757943;kontakt@telenorsverige.se;www.telenorsverige.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000035;10000035;Contact;Nalka Invest ;;;Kolmårdsgränd 13;;41119;GÖTEBORG            ;base.se;Sverige;028-438 38 66;+46.79202049;info@nalkainvest.se;www.nalkainvest.se;0;0;TRUE;TRUE;;
demo_parent_10000036;10000036;Contact;Woody Bygghandel ;;;Södermalmsallén 22;;71133;LINDESBERG          ;base.se;Sverige;0590-41 88 48;+46.75595963;info@woodybygghandel.se;www.woodybygghandel.se;0;0;TRUE;TRUE;;
demo_parent_10000037;10000037;Contact;Metso Sweden ;;;Mälartorget 20;;22271;LUND                ;base.se;Sverige;08-643 67 97;+46.71274635;info@metsosweden.se;www.metsosweden.se;0;0;TRUE;;TRUE;
demo_parent_10000038;10000038;Contact;Kinnevik ;;;Korgmakargränd 85;;13034;SKÄLVIK             ;base.se;Sverige;041-418 98 95;+46.76262021;info@kinnevik.se;www.kinnevik.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000039;10000039;Contact;TUI Sverige ;;;Högbergsbacken 97;;58950;LINKÖPING           ;base.se;Sverige;0319-78 27 72;+46.75186790;info@tuisverige.se;www.tuisverige.se;0;0;TRUE;TRUE;;
demo_parent_10000040;10000040;Contact;Pfizer ;;;Sjöbjörnsvägen 84;;19531;MÄRSTA              ;base.se;Sverige;08-772 57 69;+46.74411080;info@pfizer.se;www.pfizer.se;0;0;TRUE;;;
demo_parent_10000041;10000041;Contact;Telenor Sverige ;;;Slöjdgatan 55;;44336;LERUM               ;base.se;Sverige;076-935 76 55;+46.70887924;mail@telenorsverige.se;www.telenorsverige.se;0;0;TRUE;;;
demo_parent_10000042;10000042;Contact;Ahlsell;;;Värtavägen 79;;16367;SPÅNGA              ;base.se;Sverige;0715-15 61 18;+46.79225346;info@ahlsell.com;www.ahlsell.com;0;0;TRUE;;;
demo_parent_10000043;10000043;Contact;Anicura Holding ;;;Kristinehovsgatan 21;;13461;INGARÖ              ;base.se;Sverige;08-635 69 34;+46.77645026;info@anicuraholding.se;www.anicuraholding.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000044;10000044;Contact;Schenker ;;;Liljeholmsvägen 11;;41523;GÖTEBORG            ;base.se;Sverige;045-484 62 85;+46.78776619;info@schenker.com;www.schenker.com;0;0;TRUE;TRUE;;
demo_parent_10000045;10000045;Contact;Mojang ;;;Mail Boxes Etc 36;;75314;UPPSALA             ;base.se;Sverige;0260-33 47 59;+46.76365709;info@mojang.com;www.mojang.com;0;0;TRUE;;;
demo_parent_10000046;10000046;Contact;Swecon Anläggningsmaskiner;;;Askrikegatan 85;;71294;GRYTHYTTAN          ;base.se;Sverige;08-503 83 81;+46.72013265;kontakt@sweconanlaggningsmaskiner.se;www.sweconanlaggningsmaskiner.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000047;10000047;Contact;DSV Road ;;;Kungsbroplan 79;;44932;NÖDINGE             ;base.se;Sverige;056-056 53 79;+46.78149284;info@dsvroad.com;www.dsvroad.com;0;0;TRUE;;;
demo_parent_10000048;10000048;Contact;Dentsply IH ;;;Sannadalsvägen 60;;83134;ÖSTERSUND           ;base.se;Sverige;0328-54 70 91;+46.73463924;info@dentsplyih.se;www.dentsplyih.se;0;0;TRUE;;;
demo_parent_10000049;10000049;Contact;Storstockholms Lokaltrafik;;;Apelbergsgatan 84;;97633;LULEÅ               ;base.se;Sverige;08-236 88 84;+46.70288661;info@storstockholmslokaltrafik.se;www.storstockholmslokaltrafik.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000050;10000050;Contact;Systemair ;;;Maria Trappgränd 45;;11364;STOCKHOLM           ;base.se;Sverige;043-575 32 62;+46.70243351;info@systemair.com;www.systemair.com;0;0;TRUE;TRUE;;
demo_parent_10000051;10000051;Contact;JM ;;;Rapsgatan 41;;98020;SVAPPAVAARA         ;base.se;Sverige;0788-39 18 30;+46.76695490;info@jm.com;www.jm.com;0;0;TRUE;;;
demo_parent_10000052;10000052;Contact;Humana ;;;Mörka Kroken 37;;34392;HÄRADSBÄCK          ;base.se;Sverige;08-969 95 12;+46.71101549;info@humana.se;www.humana.se;0;0;TRUE;;;
demo_parent_10000053;10000053;Contact;Strom Equities ;;;Triewaldsgränd 49;;11221;STOCKHOLM           ;base.se;Sverige;012-162 71 82;+46.72429515;info@stromequities.se;www.stromequities.se;0;0;TRUE;TRUE;;
demo_parent_10000054;10000054;Contact;Fingerprint Cards ;;;Lilla Bantorget 96;;15257;SÖDERTÄLJE          ;base.se;Sverige;0841-49 59 21;+46.73535491;info@fingerprintcards.se;www.fingerprintcards.se;0;0;TRUE;TRUE;;
demo_parent_10000055;10000055;Contact;Netto Marknad Sverige ;;;Tullvaktsvägen 24;;18162;LIDINGÖ             ;base.se;Sverige;08-252 24 71;+46.76617873;info@nettomarknadsverige.se;www.nettomarknadsverige.se;0;0;TRUE;;;
demo_parent_10000056;10000056;Contact;JFT Holding (Daniel Wellington);;;Aluddsparken 42;;47295;VAREKIL             ;base.se;Sverige;072-806 18 11;+46.73387205;mail@jftholding(danielwellington).se;www.jftholding(danielwellington).se;0;0;TRUE;;;
demo_parent_10000057;10000057;Contact;Transcom Holding ;;;Östgötagatan 83;;30232;HALMSTAD            ;base.se;Sverige;0287-00 21 09;+46.74378321;info@transcomholding.se;www.transcomholding.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000058;10000058;Contact;M2 Asset Management ;;;Hagagatan 82;;75593;UPPSALA             ;base.se;Sverige;08-959 28 89;+46.77223217;info@m2assetmanagement.se;www.m2assetmanagement.se;0;0;TRUE;;;
demo_parent_10000059;10000059;Contact;Ambea ;;;Kristinebergs Slottsväg 84;;93233;SKELLEFTEHAMN       ;base.se;Sverige;003-853 32 22;+46.70432745;info@ambea.se;www.ambea.se;0;0;TRUE;;TRUE;
demo_parent_10000060;10000060;Contact;Göteborgs Stadshus ;;;Stora Mejtens Gränd 40;;41261;GÖTEBORG            ;base.se;Sverige;0863-39 47 05;+46.75226939;info@goteborgsstadshus.se;www.goteborgsstadshus.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000061;10000061;Contact;Optimera Svenska ;;;Kaptensgatan 96;;51792;BOLLEBYGD           ;base.se;Sverige;08-816 08 03;+46.78599178;kontakt@optimerasvenska.se;www.optimerasvenska.se;0;0;TRUE;TRUE;;
demo_parent_10000062;10000062;Contact;Capio;;;Gärdesgatan 77;;98260;PORJUS              ;base.se;Sverige;002-883 26 03;+46.73237441;info@capio.se;www.capio.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000063;10000063;Contact;Elanders ;;;Ljustergränd 91;;26292;ÄNGELHOLM           ;base.se;Sverige;0436-53 12 59;+46.74841996;info@elanders.com;www.elanders.com;0;0;TRUE;;TRUE;
demo_parent_10000064;10000064;Contact;Swecon Anläggningsmaskiner;;;Crafoords Väg 73;;21852;KLAGSHAMN           ;base.se;Sverige;08-825 60 70;+46.72345790;info@sweconanlaggningsmaskiner.se;www.sweconanlaggningsmaskiner.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000065;10000065;Contact;Castellum ;;;Iversonsgatan 44;;86131;TIMRÅ               ;base.se;Sverige;097-879 58 43;+46.70984838;info@castellum.se;www.castellum.se;0;0;TRUE;;;
demo_parent_10000066;10000066;Contact;SSAB ;;;Rorgängargatan 8;;84192;ÅNGE                ;base.se;Sverige;0857-81 85 55;+46.71155833;info@ssab.se;www.ssab.se;0;0;TRUE;;TRUE;
demo_parent_10000067;10000067;Contact;Dunross & Co A;;;Gillögagatan 66;;96232;JOKKMOKK            ;base.se;Sverige;08-873 08 73;+46.72978757;info@dunrosscoa.com;www.dunrosscoa.com;0;0;TRUE;;;
demo_parent_10000068;10000068;Contact;Adient Sweden ;;;Sjöfartsgatan 96;;12573;ÄLVSJÖ              ;base.se;Sverige;042-909 02 80;+46.75922657;info@adientsweden.se;www.adientsweden.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000069;10000069;Contact;Intersport Sverige ;;;Varvsgatan 47;;46251;VÄNERSBORG          ;base.se;Sverige;0244-26 74 13;+46.73922654;info@intersportsverige.se;www.intersportsverige.se;0;0;TRUE;;;
demo_parent_10000070;10000070;Contact;Solar Sverige ;;;Hornsgatan 58;;57737;HULTSFRED           ;base.se;Sverige;08-354 95 31;+46.73221113;mail@solarsverige.se;www.solarsverige.se;0;0;TRUE;TRUE;;
demo_parent_10000071;10000071;Contact;Swedol ;;;Rådmansgatan 28;;72217;VÄSTERÅS            ;base.se;Sverige;026-638 72 55;+46.73633001;info@swedol.com;www.swedol.com;0;0;TRUE;TRUE;;
demo_parent_10000072;10000072;Contact;Haldex ;;;Möregatan 71;;12348;FARSTA              ;base.se;Sverige;0015-30 16 70;+46.70972811;info@haldex.se;www.haldex.se;0;0;TRUE;;;
demo_parent_10000073;10000073;Contact;Bilbolaget Invest Sundsvall ;;;Bondesonsgatan 34;;66231;ÅMÅL                ;base.se;Sverige;08-552 55 51;+46.70353048;info@bilbolagetinvestsundsvall.se;www.bilbolagetinvestsundsvall.se;0;0;TRUE;;TRUE;
demo_parent_10000074;10000074;Contact;KGK Holding ;;;Katrinebergsvägen 87;;43341;PARTILLE            ;base.se;Sverige;025-266 89 97;+46.73923903;info@kgkholding.se;www.kgkholding.se;0;0;TRUE;TRUE;;
demo_parent_10000075;10000075;Contact;Göteborgs Stadshus ;;;Lindhagensplan 44;;45430;BRASTAD             ;base.se;Sverige;0179-28 94 09;+46.72165911;kontakt@goteborgsstadshus.se;www.goteborgsstadshus.se;0;0;TRUE;;TRUE;
demo_parent_10000076;10000076;Contact;NCC ;;;Glasbruksgatan 20;;26538;ÅSTORP              ;base.se;Sverige;08-838 70 17;+46.79645561;info@ncc.se;www.ncc.se;0;0;TRUE;;TRUE;
demo_parent_10000077;10000077;Contact;Intersport Sverige ;;;Tullgårdsgatan 46;;34373;VIRESTAD            ;base.se;Sverige;065-070 05 70;+46.72461664;info@intersportsverige.se;www.intersportsverige.se;0;0;TRUE;TRUE;;
demo_parent_10000078;10000078;Contact;Sweco ;;;Vasagatan 4;;74696;SKOKLOSTER          ;base.se;Sverige;0036-37 93 97;+46.75040811;info@sweco.com;www.sweco.com;0;0;TRUE;;;
demo_parent_10000079;10000079;Contact;Lantmännen Maskin ;;;Nordenflychtsvägen 24;;53131;LIDKÖPING           ;base.se;Sverige;08-151 36 67;+46.70034997;info@lantmannenmaskin.se;www.lantmannenmaskin.se;0;0;TRUE;;TRUE;
demo_parent_10000080;10000080;Contact;Eltel ;;;Bertil Ohlins Gata 32;;67134;ARVIKA              ;base.se;Sverige;035-921 48 71;+46.78855661;info@eltel.se;www.eltel.se;0;0;TRUE;;;
demo_parent_10000081;10000081;Contact;Ragn-Sellsföretagen ;;;Storängsvägen 21;;19435;UPPLANDS VÄSBY      ;base.se;Sverige;0639-35 69 08;+46.72739921;info@ragn-sellsforetagen.se;www.ragn-sellsforetagen.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000082;10000082;Contact;VBG GROUP ;;;Söder Mälarstrands Kajplatser 48;;80310;GÄVLE               ;base.se;Sverige;08-954 48 06;+46.73726263;info@vbggroup.se;www.vbggroup.se;0;0;TRUE;;;
demo_parent_10000083;10000083;Contact;Midasplayer ;;;Wenströmsvägen 5;;57832;ANEBY               ;base.se;Sverige;075-253 16 21;+46.79783731;mail@midasplayer.se;www.midasplayer.se;0;0;TRUE;;;
demo_parent_10000084;10000084;Contact;Fairford Holdings Europe ;;;Redargatan 3;;12639;HÄGERSTEN           ;base.se;Sverige;0089-10 33 96;+46.70343553;info@fairfordholdingseurope.se;www.fairfordholdingseurope.se;0;0;TRUE;;;
demo_parent_10000085;10000085;Contact;Göteborg Energi ;;;Fartygsgatan 35;;73731;FAGERSTA            ;base.se;Sverige;08-620 05 76;+46.73625331;info@goteborgenergi.com;www.goteborgenergi.com;0;0;TRUE;;TRUE;
demo_parent_10000086;10000086;Contact;Gant ;;;Marmorgatan 80;;68695;VÄSTRA ÄMTERVIK     ;base.se;Sverige;085-201 48 82;+46.74834979;info@gant.com;www.gant.com;0;0;TRUE;TRUE;TRUE;
demo_parent_10000087;10000087;Contact;Neste ;;;Korgmakargränd 51;;42834;KÅLLERED            ;base.se;Sverige;0640-92 35 52;+46.70991988;info@neste.se;www.neste.se;0;0;TRUE;;;
demo_parent_10000088;10000088;Contact;Herenco ;;;Mäster Pers Gränd 6;;12372;FARSTA              ;base.se;Sverige;08-660 42 53;+46.75222883;kontakt@herenco.com;www.herenco.com;0;0;TRUE;;;
demo_parent_10000089;10000089;Contact;G. Toveks Bil ;;;John Ericssonsgatan 24;;12634;HÄGERSTEN           ;base.se;Sverige;027-251 09 37;+46.74265654;info@g.toveksbil.se;www.g.toveksbil.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000090;10000090;Contact;Toyota Industries Europe ;;;Karl Xii:s Torg 76;;33531;GNOSJÖ              ;base.se;Sverige;0020-87 70 43;+46.76511209;info@toyotaindustrieseurope.se;www.toyotaindustrieseurope.se;0;0;TRUE;;;
demo_parent_10000091;10000091;Contact;Uddeholms ;;;Brännkyrkagatan 59;;50475;BORÅS               ;base.se;Sverige;08-477 43 15;+46.79781094;info@uddeholms.com;www.uddeholms.com;0;0;TRUE;;;
demo_parent_10000092;10000092;Contact;Addnode Group ;;;Tredje Bassängvägen 69;;43376;JONSERED            ;base.se;Sverige;053-083 53 55;+46.71869158;info@addnodegroup.se;www.addnodegroup.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000093;10000093;Contact;Intrum ;;;Maria Skolgata 71;;77150;LUDVIKA             ;base.se;Sverige;0568-56 54 39;+46.72604550;info@intrum.se;www.intrum.se;0;0;TRUE;;;
demo_parent_10000094;10000094;Contact;Bufab ;;;Bertil Ohlins Gata 64;;56138;HUSKVARNA           ;base.se;Sverige;08-993 38 23;+46.79784398;info@bufab.se;www.bufab.se;0;0;TRUE;;;
demo_parent_10000095;10000095;Contact;Lantmännen Maskin ;;;Norra Bankogränd 78;;16430;KISTA               ;base.se;Sverige;004-849 03 49;+46.72663294;mail@lantmannenmaskin.se;www.lantmannenmaskin.se;0;0;TRUE;TRUE;;
demo_parent_10000096;10000096;Contact;Elgiganten ;;;Rehnsgatan 81;;57237;OSKARSHAMN          ;base.se;Sverige;0365-55 43 18;+46.71740654;info@elgiganten.se;www.elgiganten.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000097;10000097;Contact;Nestlé Sverige ;;;Kronobergsgatan 54;;16938;SOLNA               ;base.se;Sverige;08-349 41 13;+46.79790780;info@nestlésverige.se;www.nestlésverige.se;0;0;TRUE;;;
demo_parent_10000098;10000098;Contact;Handelsbanken;;;Maria Trappgränd 35;;85644;SUNDSVALL           ;base.se;Sverige;078-922 03 60;+46.74803970;info@handelsbanken.se;www.handelsbanken.se;0;0;TRUE;TRUE;;
demo_parent_10000099;10000099;Contact;Einar Mattsson ;;;Skonertvägen 43;;45340;LYSEKIL             ;base.se;Sverige;0647-14 65 52;+46.73538591;info@einarmattsson.se;www.einarmattsson.se;0;0;TRUE;;TRUE;
demo_parent_10000100;10000100;Contact;Parkgate ;;;Björnnäsbacken 68;;64694;BJÖRNLUNDA          ;base.se;Sverige;08-471 09 15;+46.76324779;kontakt@parkgate.se;www.parkgate.se;0;0;TRUE;;TRUE;
demo_parent_10000101;10000101;Contact;ACTR ;;;Nybodaringen 76;;42445;ANGERED             ;base.se;Sverige;033-678 08 35;+46.79169452;info@actr.se;www.actr.se;0;0;TRUE;TRUE;;
demo_parent_10000102;10000102;Contact;Loomis ;;;Kungsholms Kyrkoplan 59;;76141;NORRTÄLJE           ;base.se;Sverige;0898-92 10 07;+46.75105136;info@loomis.se;www.loomis.se;0;0;TRUE;;TRUE;
demo_parent_10000103;10000103;Contact;Academic Work Holding ;;;Hjalmar Cederströms Gata 11;;91692;BJURHOLM            ;base.se;Sverige;08-493 59 42;+46.70128502;info@academicworkholding.com;www.academicworkholding.com;0;0;TRUE;;;
demo_parent_10000104;10000104;Contact;Eberspächer Exhaust Technology;;;Rådmansgatan 80;;64732;MARIEFRED           ;base.se;Sverige;013-335 20 40;+46.75645587;info@eberspacherexhausttechnology.se;www.eberspacherexhausttechnology.se;0;0;TRUE;TRUE;;
demo_parent_10000105;10000105;Contact;Resurs Holding ;;;Vattugatan 95;;21226;MALMÖ               ;base.se;Sverige;0484-58 98 61;+46.74218198;info@resursholding.se;www.resursholding.se;0;0;TRUE;TRUE;;
demo_parent_10000106;10000106;Contact;Assa Abloy;;;Blekingegatan 32;;34155;VITTARYD            ;base.se;Sverige;08-191 59 21;+46.78659434;info@assaabloy.com;www.assaabloy.com;0;0;TRUE;;TRUE;
demo_parent_10000107;10000107;Contact;Lenovo ;;;Malmvägen 97;;45431;BRASTAD             ;base.se;Sverige;025-605 39 25;+46.78547801;info@lenovo.se;www.lenovo.se;0;0;TRUE;;;
demo_parent_10000108;10000108;Contact;Geely Sweden/Volvo Cars;;;Hudiksvallsgatan 78;;81442;SKUTSKÄR            ;base.se;Sverige;0140-88 44 75;+46.72644653;info@geelysweden.com;www.geelysweden.com;0;0;TRUE;;TRUE;
demo_parent_10000109;10000109;Contact;Alfa Laval ;;;Drakenbergsgatan 25;;27592;SJÖBO               ;base.se;Sverige;08-386 78 67;+46.73497929;info@alfalaval.se;www.alfalaval.se;0;0;TRUE;;;
demo_parent_10000110;10000110;Contact;Stadium ;;;Notvarpsgränd 46;;63227;ESKILSTUNA          ;base.se;Sverige;056-340 66 44;+46.74253658;info@stadium.se;www.stadium.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000111;10000111;Contact;Eltel ;;;Norra Kajvägen 86;;74949;ENKÖPING            ;base.se;Sverige;0190-64 52 10;+46.75289971;info@eltel.se;www.eltel.se;0;0;TRUE;TRUE;TRUE;
demo_parent_10000112;10000112;Contact;Byggmax Group ;;;Grubbenstorget 6;;27160;YSTAD               ;base.se;Sverige;08-575 86 50;+46.79397843;mail@byggmaxgroup.com;www.byggmaxgroup.com;0;0;TRUE;;;
demo_parent_10000113;10000113;Contact;Hexagon ;;;Storkyrkobrinken 24;;42933;KULLAVIK            ;base.se;Sverige;096-984 32 16;+46.78338592;info@hexagon.com;www.hexagon.com;0;0;TRUE;TRUE;TRUE;
demo_parent_10000114;10000114;Contact;Ernst & Young Sweden ;;;Fredsborgstorget 66;;80427;GÄVLE               ;base.se;Sverige;0246-97 48 93;+46.75188579;info@ernstyoungsweden.com;www.ernstyoungsweden.com;0;0;TRUE;TRUE;TRUE;
demo_parent_10000115;10000115;Contact;Lindab International ;;;Sandelsgatan 11;;23842;OXIE                ;base.se;Sverige;08-407 91 57;+46.73348407;info@lindabinternational.se;www.lindabinternational.se;0;0;TRUE;TRUE;;
demo_parent_10000116;10000116;Contact;Capgemini Sverige ;;;Narvavägen 75;;18164;LIDINGÖ             ;base.se;Sverige;046-958 87 29;+46.71427936;info@capgeminisverige.com;www.capgeminisverige.com;0;0;TRUE;TRUE;;
demo_parent_10000117;10000117;Contact;Kährs Holding ;;;Thorildsvägen 22;;21772;MALMÖ               ;base.se;Sverige;0732-31 63 25;+46.75076829;kontakt@kahrsholding.se;www.kahrsholding.se;0;0;TRUE;;;
